service,gender,race,hispanicity,paygrade,count
Navy,FEMALE,MULTI,HISP,O08,0
Navy,FEMALE,MULTI,NON-HISP,O08,0
Navy,FEMALE,P/I,HISP,O08,0
Navy,FEMALE,P/I,NON-HISP,O08,0
Navy,FEMALE,WHITE,HISP,O08,0
Navy,FEMALE,WHITE,NON-HISP,O08,7
Navy,FEMALE,UNK,HISP,O08,0
Navy,FEMALE,UNK,NON-HISP,O08,0
Navy,MALE,AMI/ALN,HISP,O09,0
Navy,MALE,AMI/ALN,NON-HISP,O09,0
Navy,MALE,ASIAN,HISP,O09,0
Navy,MALE,ASIAN,NON-HISP,O09,1
Navy,MALE,BLACK,HISP,O09,0
Navy,MALE,BLACK,NON-HISP,O09,4
Navy,MALE,MULTI,HISP,O09,0
Navy,MALE,MULTI,NON-HISP,O09,0
Navy,MALE,P/I,HISP,O09,0
Navy,MALE,P/I,NON-HISP,O09,0
Navy,MALE,WHITE,HISP,O09,0
Navy,MALE,WHITE,NON-HISP,O09,35
Navy,MALE,UNK,HISP,O09,0
Navy,MALE,UNK,NON-HISP,O09,1
Navy,FEMALE,AMI/ALN,HISP,O09,0
Navy,FEMALE,AMI/ALN,NON-HISP,O09,0
Navy,FEMALE,ASIAN,HISP,O09,0
Navy,FEMALE,ASIAN,NON-HISP,O09,0
Navy,FEMALE,BLACK,HISP,O09,0
Navy,FEMALE,BLACK,NON-HISP,O09,0
Navy,FEMALE,MULTI,HISP,O09,0
Navy,FEMALE,MULTI,NON-HISP,O09,0
Navy,FEMALE,P/I,HISP,O09,0
Navy,FEMALE,P/I,NON-HISP,O09,0
Navy,FEMALE,WHITE,HISP,O09,0
Navy,FEMALE,WHITE,NON-HISP,O09,1
Navy,FEMALE,UNK,HISP,O09,0
Navy,FEMALE,UNK,NON-HISP,O09,0
Navy,MALE,AMI/ALN,HISP,O10,0
Navy,MALE,AMI/ALN,NON-HISP,O10,0
Navy,MALE,ASIAN,HISP,O10,0
Navy,MALE,ASIAN,NON-HISP,O10,0
Navy,MALE,BLACK,HISP,O10,0
Navy,MALE,BLACK,NON-HISP,O10,0
Navy,MALE,MULTI,HISP,O10,0
Navy,MALE,MULTI,NON-HISP,O10,0
Navy,MALE,P/I,HISP,O10,0
Navy,MALE,P/I,NON-HISP,O10,0
Navy,MALE,WHITE,HISP,O10,0
Navy,MALE,WHITE,NON-HISP,O10,10
Navy,MALE,UNK,HISP,O10,0
Navy,MALE,UNK,NON-HISP,O10,0
